节点,是否工作日,时间段,异常临界值,计算时间
mn1,0,2,23.6855933,2021/4/13 19:21
mn1,0,4,30.38399708,2021/4/13 19:21
mn1,0,6,40.22696984,2021/4/13 19:21
mn1,0,8,49.39887154,2021/4/13 19:21
mn1,0,10,63.28365758,2021/4/13 19:21
mn1,0,12,50.47003372,2021/4/13 19:21
mn1,0,14,28.46817734,2021/4/13 19:21
mn1,0,16,25.8005196,2021/4/13 19:21
mn1,0,18,23.09319818,2021/4/13 19:21
mn1,0,20,18.6246079,2021/4/13 19:21
mn1,0,22,18.5362588,2021/4/13 19:21
mn1,0,24,15.3820485,2021/4/13 19:21
mn1,1,2,50.09747487,2021/4/13 19:21
mn1,1,4,26.86567831,2021/4/13 19:21
mn1,1,6,39.89818693,2021/4/13 19:21
mn1,1,8,49.44681196,2021/4/13 19:21
mn1,1,10,105.7783572,2021/4/13 19:21
mn1,1,12,297.9629071,2021/4/13 19:21
mn1,1,14,50.32980301,2021/4/13 19:21
mn1,1,16,73.34750365,2021/4/13 19:21
mn1,1,18,68.88126589,2021/4/13 19:21
mn1,1,20,50.17956011,2021/4/13 19:21
mn1,1,22,32.74092205,2021/4/13 19:21
mn1,1,24,57.44614321,2021/4/13 19:21
mn2,0,2,24.93158432,2021/4/13 19:21
mn2,0,4,18.56019704,2021/4/13 19:21
mn2,0,6,27.84400964,2021/4/13 19:21
mn2,0,8,22.20465128,2021/4/13 19:21
mn2,0,10,41.71726984,2021/4/13 19:21
mn2,0,12,49.32477066,2021/4/13 19:21
mn2,0,14,81.40820994,2021/4/13 19:21
mn2,0,16,65.55019736,2021/4/13 19:21
mn2,0,18,43.34301104,2021/4/13 19:21
mn2,0,20,33.05205818,2021/4/13 19:21
mn2,0,22,14.20048558,2021/4/13 19:21
mn2,0,24,13.75168144,2021/4/13 19:21
mn2,1,2,45.13359989,2021/4/13 19:21
mn2,1,4,39.56274983,2021/4/13 19:21
mn2,1,6,45.3410458,2021/4/13 19:21
mn2,1,8,31.42980528,2021/4/13 19:21
mn2,1,10,55.81231861,2021/4/13 19:21
mn2,1,12,75.27117065,2021/4/13 19:21
mn2,1,14,105.3103206,2021/4/13 19:21
mn2,1,16,138.2216191,2021/4/13 19:21
mn2,1,18,147.4761374,2021/4/13 19:21
mn2,1,20,160.9284161,2021/4/13 19:21
mn2,1,22,84.34804308,2021/4/13 19:21
mn2,1,24,48.07260982,2021/4/13 19:21
